"","GSM2544275","GSM2544276","GSM2544277","GSM2544278","GSM2544279","GSM2544280","GSM2544281","GSM2544282","GSM2544283","GSM2544284","GSM2544285","GSM2544286","GSM2544287","GSM2544288","GSM2544289","GSM2544290","GSM2544291","GSM2544292","GSM2544293","GSM2544294","GSM2544295","GSM2544296","GSM2544297","GSM2544298","GSM2544299","GSM2544300","GSM2544301","GSM2544302","GSM2544303","GSM2544304","GSM2544305","GSM2544306","GSM2544307","GSM2544308","GSM2544309","GSM2544310","GSM2544311","GSM2544312","GSM2544313","GSM2544314","GSM2544315","GSM2544316","GSM2544317","GSM2544318","GSM2544319","GSM2544320","GSM2544321","GSM2544322","GSM2544323","GSM2544324","GSM2544325","GSM2544326","GSM2544327","GSM2544328","GSM2544329","GSM2544330","GSM2544331","GSM2544332","GSM2544333","GSM2544334","GSM2544335"
"EQTN",3.68751,3.1945,3.40094,3.43472,3.29875,3.3983,3.38048,3.3582,3.57698,3.28928,3.36122,3.2496,3.27763,3.28692,3.22136,3.08424,3.38057,3.07552,3.54909,3.53074,3.27858,3.39767,3.4571,3.43433,3.55216,3.34922,3.28396,3.23448,3.77327,3.34752,3.54082,3.35836,3.3346,3.73253,3.37964,3.31304,3.40489,3.1345,3.34747,3.36499,3.16744,3.59866,3.10931,3.41218,3.15777,3.42449,3.37717,3.5457,3.51487,3.39957,3.50547,3.28749,3.34436,3.36076,3.31567,3.4885,3.22287,3.02163,3.19536,3.31906,4.00647
"ERAL1",5.34667,5.60207,5.51761,5.64827,5.6458,5.81902,5.65153,5.48481,5.50831,5.83525,5.38434,5.34785,5.82544,5.36244,5.62711,5.54147,5.55297,5.50066,5.75234,5.25547,5.61649,5.81171,5.56468,5.98284,5.38869,6.31247,5.46913,5.94061,5.48,5.47015,5.48948,5.41044,5.43575,5.07127,5.56468,5.21808,5.77697,5.82682,5.03331,5.55971,5.66712,5.63451,5.62042,5.67318,5.62389,5.65128,5.52891,5.19924,5.57552,5.53644,5.76421,5.26148,5.56468,5.60551,5.00071,5.31452,5.74736,5.83057,5.26935,6.00561,5.75011
"ERAP1",10.187,10.011,10.477,9.6684,9.63353,9.81135,9.79957,10.1534,8.40389,9.79296,9.63108,11.0902,9.4965,10.0188,10.3188,10.4432,10.0482,10.1373,10.0651,10.0074,9.60087,10.0165,10.0056,10.4358,10.0899,10.6177,10.2725,10.068,10.3582,10.0341,9.81806,10.1473,10.1575,10.367,10.1694,10.1434,10.3088,10.3163,10.3211,10.0086,10.2698,10.1808,9.84258,9.93746,9.87183,9.93163,10.3768,10.4887,10.4628,9.7986,10.3555,10.7397,10.0956,10.2948,10.3074,10.2673,10.6098,9.32211,10.1914,10.7009,10.0162
"ERAP2",5.83845,11.0271,9.46494,8.7521,9.12928,10.6939,9.13724,9.26356,10.6668,10.4569,5.78164,6.07144,8.42403,11.2094,9.322,5.92356,9.33791,9.09344,6.10453,9.10357,5.18812,6.10141,9.31683,5.58321,9.17866,5.28943,5.40306,8.75839,5.80524,10.4623,8.70011,5.46067,10.457,9.52731,5.73469,9.44481,5.66261,9.11014,6.03669,8.97879,9.39851,5.45483,11.1024,9.15655,10.5727,9.5038,5.47642,6.01061,5.64603,9.2233,9.23478,6.30619,8.59585,5.76347,5.46655,9.65459,5.66444,10.9001,5.81916,9.04619,10.5345
"ERAS",4.35241,4.15602,4.29353,4.04734,3.87373,4.65139,4.38594,4.22277,4.21302,4.25669,4.08564,4.24437,4.05001,4.37461,4.26754,4.3883,4.04068,4.11297,4.76564,4.46687,3.95947,4.16142,4.16177,4.11189,4.56218,4.0477,4.08104,4.28367,3.80009,4.09713,3.83205,4.08492,4.04974,4.40663,4.20825,4.1878,4.63765,3.8096,4.04032,4.60098,4.20782,4.18549,4.31137,4.14307,3.93353,3.96465,4.71075,3.69773,4.23543,4.3345,4.13824,3.90153,4.10845,4.03263,4.25702,3.95501,3.98097,4.36338,4.36381,4.67085,4.46796
"ERBB2",6.18594,5.89998,6.03586,6.87659,5.97562,6.05341,6.1355,5.74016,6.11749,6.63441,5.96294,5.94503,6.32204,6.12248,6.20664,6.03498,5.81502,5.97924,6.34891,5.72279,6.71053,6.38952,6.43728,6.53274,6.2383,6.27325,6.5748,6.44245,5.96402,6.05634,6.34607,6.45964,6.41476,6.13102,6.69603,6.15669,6.47225,6.38537,6.08282,6.28445,6.17144,6.40603,6.49306,6.3505,6.6045,6.5199,6.62059,6.44502,6.57574,6.8908,6.39635,6.11365,6.87349,6.76342,6.19806,6.11516,6.77213,6.58291,6.47141,6.73335,6.63926
"ERBB2IP",10.7532,11.4302,11.3475,11.5209,11.4978,11.369,11.4573,10.995,11.2372,11.23,11.0756,10.971,11.1563,11.1053,11.51,11.2632,11.4941,10.8915,10.6414,11.4556,10.9768,10.7359,11.3324,10.8712,10.6931,10.972,10.7168,10.6796,11.1592,10.9042,10.8663,10.4619,10.7913,10.487,10.8197,10.9196,10.6668,11.0211,10.7004,10.613,11.2822,11.4573,11.5858,10.9913,11.3202,11.3613,11.1563,11.2148,11.469,11.3023,11.5313,11.3433,11.2993,11.4878,11.3476,11.4734,11.1843,11.5951,11.2635,11.4429,11.5064
"ERBB3",6.1759,6.15435,5.89932,6.09018,5.43065,6.01683,6.10126,6.00642,5.84476,7.78551,6.31963,5.67619,6.17037,6.15605,6.00529,5.83853,6.17876,6.11014,5.56575,5.85108,6.75813,5.65928,6.45266,6.01011,5.2563,6.5184,5.79555,6.02632,6.15345,4.92781,6.57077,5.83385,6.08516,5.5512,7.85766,5.66747,5.62685,5.63949,6.13772,5.90731,6.40584,6.01838,6.3229,6.33676,6.19957,6.91826,6.88829,6.51104,6.10962,6.68267,6.04017,5.73015,6.64775,6.17566,6.35417,5.95547,6.21002,6.53233,5.92048,6.22431,6.27813
"ERBB4",7.3922,8.53412,8.11915,8.59712,8.79069,7.90054,8.61279,8.33068,8.69301,8.25646,8.67737,7.08055,7.72374,8.33718,8.80809,8.35977,8.88795,7.41372,6.72165,8.0668,8.38542,7.38906,8.28072,6.42746,7.54025,8.37395,6.92001,7.55665,7.86372,6.53855,7.37751,6.54162,7.87946,8.12633,6.6555,7.82661,6.2816,6.61045,7.41905,7.24707,7.72775,8.69271,8.46375,7.68042,8.0703,7.4598,8.19979,8.06556,7.92148,7.79398,8.13073,8.17679,7.87183,7.4569,7.80627,8.15437,8.3728,8.25735,7.3114,7.82039,7.90054
"ERC1",10.5118,10.7965,10.5647,10.5846,10.2367,10.5349,10.3602,10.6583,10.3228,9.99823,10.2263,10.6881,10.3247,10.8006,10.7881,10.6687,10.5699,10.2085,10.1809,10.2357,10.5811,10.1809,10.3456,10.2628,10.1145,10.993,10.2745,10.1376,10.344,10.1538,10.6087,10.3185,10.5756,10.2193,9.58569,10.6086,10.2851,10.5795,10.2272,10.1838,10.1435,10.4374,10.3668,9.96851,10.1261,10.1337,10.0011,9.9407,10.2748,10.3742,10.4756,10.5956,10.1483,10.2678,10.9235,10.4084,10.3764,10.7259,10.1434,10.5528,10.3337
"ERC2",3.78381,3.93302,4.22032,4.02436,3.9805,3.9103,3.70499,4.02772,3.90988,3.99918,3.96512,3.90422,3.82351,4.02971,4.06074,4.0184,3.91482,3.81226,3.72997,4.00988,3.97945,3.90233,4.07931,3.83916,3.79606,3.88947,3.93287,4.00052,4.06752,3.78177,3.83491,4.02291,3.96795,3.90258,3.73643,4.25001,3.82726,3.59227,4.02243,3.83413,3.94352,3.92025,3.93794,3.9103,3.85696,3.77457,3.86125,4.02278,3.91619,3.87219,3.92052,4.17778,3.90715,3.77779,3.83475,3.86552,3.91438,3.94821,3.9103,3.87589,3.89562
"ERC2-IT1",2.98054,2.94474,3.52531,2.48641,3.58563,3.2364,2.96098,3.0498,3.25349,2.91678,3.04463,3.03086,2.93131,3.07735,3.65179,3.0396,3.01806,2.89638,3.46921,3.25887,2.67996,2.89067,2.90011,3.01281,3.26428,3.21554,3.63671,3.26173,3.03743,3.19094,3.17081,3.37338,2.95748,3.0655,3.51212,3.25016,2.98325,2.87717,3.09691,3.24417,3.40129,3.05068,3.11086,2.94722,3.10596,3.05111,2.7028,2.69871,2.80319,2.73877,3.05947,2.80313,2.8273,2.77334,3.07732,3.1587,2.49404,2.71362,2.87131,2.99193,2.65504
"ERCC1",7.01766,7.09101,7.11349,7.61067,7.3003,7.28763,7.21015,6.88207,7.01139,7.21619,7.04907,7.06934,7.12142,7.20289,6.89833,6.95331,6.93054,6.76222,7.57095,6.56229,7.18084,7.05788,7.18182,7.32992,7.04399,7.18785,7.44599,7.77558,7.02444,7.12409,7.17409,7.52547,7.61646,7.29651,7.41268,7.0699,7.79026,7.51436,7.17707,7.32845,6.78003,7.16904,7.52505,7.75416,7.17276,7.43034,7.50284,7.56128,7.7791,7.45044,7.48155,7.60915,7.54056,7.56669,7.13515,7.26636,7.34346,7.26161,7.26567,7.31371,7.33923
"ERCC2",5.25924,5.35043,5.25303,5.54516,5.21751,5.45039,5.42868,5.35175,5.38068,5.56716,5.24465,5.42868,5.50484,5.26441,5.47167,5.21002,5.29974,5.32355,5.33989,5.16233,5.40639,5.31249,5.45316,5.52605,5.36998,5.20089,5.1501,5.37418,5.31583,5.33575,5.03018,5.49806,5.32797,5.24096,5.42868,5.26384,5.2695,5.5093,5.26424,5.27649,5.50665,5.80576,5.94724,5.76113,5.51182,5.2714,5.60673,5.34288,5.72243,5.85865,5.60903,5.81072,5.64805,5.77898,5.16516,5.46402,5.83573,5.70278,5.60922,5.58139,5.50879
"ERCC3",5.91556,6.47343,6.02252,6.42635,6.57291,6.19022,6.24136,6.33781,5.98494,6.27627,6.19437,6.1483,6.22761,6.20806,6.27032,6.19022,6.23475,6.34102,5.93318,6.06949,6.31722,6.09804,6.23483,6.1455,5.8459,6.41744,6.07754,6.28865,6.22524,6.07496,5.99933,6.12029,6.19022,5.89769,5.83618,6.22036,6.22333,6.29706,5.98975,6.00422,6.20627,6.0958,6.26273,6.27079,6.22499,5.89143,6.61427,6.40994,6.47676,6.17102,6.1185,6.35486,6.19199,6.41123,6.04877,6.14146,6.16614,6.2507,6.32979,5.98159,6.29814
"ERCC4",5.37415,5.18353,5.02171,5.38586,5.20918,5.18083,5.39629,5.27072,5.18353,5.19042,5.07177,5.18353,5.27255,5.32986,5.16139,5.14288,5.43658,5.18353,5.22537,4.93933,5.33191,5.18693,5.14201,4.99504,4.93059,5.18353,5.01824,5.13887,4.88342,5.25535,5.24249,4.94201,5.30135,4.97018,4.9362,5.22886,5.2341,5.28435,5.29021,5.04801,5.3108,4.99839,5.27748,5.36746,5.04153,5.05947,5.1072,5.041,5.17837,5.18101,5.22395,5.4063,5.18121,5.27292,5.10957,5.20075,5.10777,5.2771,5.19381,5.25079,5.04137
"ERCC5",7.46265,7.93643,8.15271,7.83229,7.86017,7.83596,8.04745,7.9995,7.9861,7.73212,7.61996,7.57802,7.76423,7.79825,7.71458,7.8375,8.13174,7.78029,7.37281,7.96925,7.67688,7.76785,7.78861,7.80142,7.94119,7.8055,7.60137,7.5877,7.71721,8.04133,7.7224,7.74336,7.78229,7.6436,7.79308,7.75437,7.5449,7.587,7.78035,7.36292,8.20008,7.91476,7.90932,7.93316,7.70787,7.62819,7.79308,7.89281,7.79308,7.94879,7.93062,7.79308,7.62973,8.14599,7.68582,7.81837,7.66824,7.91531,7.99528,7.61369,7.71796
"ERCC6",6.15316,6.63702,6.68322,6.60023,6.59381,6.46732,6.39201,6.32632,6.50517,6.27206,6.1012,6.25286,6.1501,6.69961,6.25668,6.81577,6.43961,6.38208,6.09166,6.53961,6.52115,6.42748,6.06374,6.70085,6.27897,6.49832,6.12627,5.97324,5.93594,6.55094,6.38105,6.25286,6.49097,5.9335,6.26812,6.14696,6.25286,6.25286,6.02177,6.03753,7.0778,5.78224,6.1163,5.89525,6.00589,6.04801,6.01491,6.39369,6.07102,6.25528,6.08456,6.03013,6.01029,5.96351,5.92132,5.88781,6.10828,6.25286,5.95741,6.08231,6.18883
